GISJOIN,Object_ID,Name,Address,City,State,ZIP,County,Country
G0100210,0172435046,ST VINCENTS CHILTON,2030 LAY DAM ROAD,CLANTON,AL,35046,CHILTON,USA
G0100270,0003236251,CLAY COUNTY HOSPITAL,83825 HIGHWAY 9,ASHLAND,AL,36251,CLAY,USA
G0100390,0001436442,FLORALA MEMORIAL HOSPITAL,24273 FIFTH AVENUE,FLORALA,AL,36442,COVINGTON,USA
G0100390,0001336420,ANDALUSIA REGIONAL HOSPITAL,849 SOUTH THREE NOTCH STREET,ANDALUSIA,AL,36420,COVINGTON,USA
G0100390,0005636467,MIZELL MEMORIAL HOSPITAL,702 MAIN STREET,OPP,AL,36467,COVINGTON,USA
G0100070,0002035042,BIBB MEDICAL CENTER,208 PIERSON AVENUE,CENTREVILLE,AL,35042,BIBB,USA
G0100310,0005336330,MEDICAL CENTER ENTERPRISE,400 NORTH EDWARDS STREET,ENTERPRISE,AL,36330,COFFEE,USA
G0100150,0006836265,RMC JACKSONVILLE,1701 SOUTH PELHAM ROAD,JACKSONVILLE,AL,36265,CALHOUN,USA
G0100150,0011336201,STRINGFELLOW MEMORIAL HOSPITAL,301 EAST 18TH STREET,ANNISTON,AL,36201,CALHOUN,USA
G0100150,0008136202,NOLAND HOSPITAL ANNISTON,400 EAST 10TH STREET,ANNISTON,AL,36202,CALHOUN,USA
G0100150,0091636202,NORTHEAST ALABAMA REGIONAL MEDICAL CENTER,400 EAST TENTH STREET,ANNISTON,AL,36202,CALHOUN,USA
G0100170,0005036854,EAMC - LANIER,4800 48TH STREET,VALLEY,AL,36854,CHAMBERS,USA
G0100230,0002836904,CHOCTAW GENERAL HOSPITAL,401 VANITY FAIR DRIVE,BUTLER,AL,36904,CHOCTAW,USA
G0100410,0001836049,BEACON CHILDREN'S HOSPITAL,150 HOSPITAL DRIVE,LUVERNE,AL,36049,CRENSHAW,USA
G0100410,0003536049,CRENSHAW COMMUNITY HOSPITAL,101 HOSPITAL CIRCLE,LUVERNE,AL,36049,CRENSHAW,USA
G0100010,0007636067,PRATTVILLE BAPTIST HOSPITAL,124 SOUTH MEMORIAL DRIVE,PRATTVILLE,AL,36067,AUTAUGA,USA
G0100130,0008736033,GEORGIANA MEDICAL CENTER,515 MIRANDA STREET,GEORGIANA,AL,36033,BUTLER,USA
G0100130,0004036037,REGIONAL MEDICAL CENTER OF CENTRAL ALABAMA,29 L. V. STABLER DRIVE,GREENVILLE,AL,36037,BUTLER,USA
G0100330,0006035660,HELEN KELLER MEMORIAL HOSPITAL,1301 S. MONTGOMERY AVENUE,SHEFFIELD,AL,35660,COLBERT,USA
G0100330,0010935661,SHOALS HOSPITAL,201 W. AVALON AVENUE,MUSCLE SHOALS,AL,35661,COLBERT,USA
G0100190,0002735960,FLOYD CHEROKEE MEDICAL CENTER,400 NORTHWOOD DRIVE,CENTRE,AL,35960,CHEROKEE,USA
G0100110,0008236089,BULLOCK COUNTY HOSPITAL,102 WEST CONECUH AVENUE,UNION SPRINGS,AL,36089,BULLOCK,USA
G0100450,0000836360,DALE MEDICAL CENTER,126 HOSPITAL AVENUE,OZARK,AL,36360,DALE,USA
G0100350,0004636401,EVERGREEN MEDICAL CENTER,101 CRESTVIEW AVENUE,EVERGREEN,AL,36401,CONECUH,USA
G0100090,0011235121,ST. VINCENT'S BLOUNT,150 GILBREATH DRIVE,ONEONTA,AL,35121,BLOUNT,USA
G0100590,0010535653,RUSSELLVILLE HOSPITAL,15155 HIGHWAY 43,RUSSELLVILLE,AL,35653,FRANKLIN,USA
G0100590,0010235582,RED BAY HOSPITAL,211 HOSPITAL ROAD,RED BAY,AL,35582,FRANKLIN,USA
G0100050,0005136027,MEDICAL CENTER BARBOUR,820 WEST WASHINGTON STREET,EUFAULA,AL,36027,BARBOUR,USA
G0100490,0004135968,DEKALB REGIONAL MEDICAL CENTER,200 MEDICAL CENTER DRIVE,FORT PAYNE,AL,35968,DEKALB,USA
G0100430,0010635055,SANCTUARY AT THE WOODLANDS, THE,1910 CHEROKEE AVENUE, SW,CULLMAN,AL,35055,CULLMAN,USA
G0100430,0003735055,CULLMAN REGIONAL MEDICAL CENTER,1912 ALABAMA HIGHWAY 157,CULLMAN,AL,35055,CULLMAN,USA
G0100570,0004835555,FAYETTE MEDICAL CENTER,1653 TEMPLE AVENUE, NORTH,FAYETTE,AL,35555,FAYETTE,USA
G0100610,0010836340,WIREGRASS MEDICAL CENTER,1200 WEST MAPLE AVENUE,GENEVA,AL,36340,GENEVA,USA
G0100510,0004536092,ELMORE COMMUNITY HOSPITAL,500 HOSPITAL DRIVE,WETUMPKA,AL,36092,ELMORE,USA
G0100510,0003336078,COMMUNITY HOSPITAL,805 FRIENDSHIP ROAD,TALLASSEE,AL,36078,ELMORE,USA
G0100250,0005536451,GROVE HILL MEMORIAL HOSPITAL,295 JACKSON HIGHWAY S,GROVE HILL,AL,36451,CLARKE,USA
G0100250,0006736545,JACKSON MEDICAL CENTER,220 HOSPITAL DRIVE,JACKSON,AL,36545,CLARKE,USA
G0101230,0010435010,RUSSELL HOSPITAL,3316 HIGHWAY 280,ALEXANDER CITY,AL,35010,TALLAPOOSA,USA
G0101230,0006936853,LAKE MARTIN COMMUNITY HOSPITAL,201 MARIARDEN ROAD,DADEVILLE,AL,36853,TALLAPOOSA,USA
G0100830,0001535611,ATHENS LIMESTONE HOSPITAL,700 WEST MARKET STREET,ATHENS,AL,35611,LIMESTONE,USA
G0100830,0013735611,NORTH ALABAMA SPECIALTY HOSPITAL,700 WEST MARKET ST, 2ND FLOOR,ATHENS,AL,35611,LIMESTONE,USA
G0101250,0007435476,NORTHPORT MEDICAL CENTER,2700 HOSPITAL DRIVE,NORTHPORT,AL,35476,TUSCALOOSA,USA
G0101250,0091235402,MARY S. HARPER GERIATRIC PSYCHIATRY CENTER,201 UNIVERSITY BOULEVARD,TUSCALOOSA,AL,35402,TUSCALOOSA,USA
G0101250,0002135401,BRYCE HOSPITAL,200 UNIVERSITY BOULEVARD,TUSCALOOSA,AL,35401,TUSCALOOSA,USA
G0101250,0000935401,DCH REGIONAL MEDICAL CENTER,809 UNIVERSITY BOULEVARD EAST,TUSCALOOSA,AL,35401,TUSCALOOSA,USA
G0101250,0090535401,NOLAND HOSPITAL TUSCALOOSA, LLC,809 UNIVERSITY BLVD EAST, 4TH FLOOR,TUSCALOOSA,AL,35401,TUSCALOOSA,USA
G0101250,0011435404,TAYLOR HARDIN SECURE MEDICAL FACILITY,1301 JACK WARNER PARKWAY N.E.,TUSCALOOSA,AL,35404,TUSCALOOSA,USA
G0101250,0004535401,VA MEDICAL CENTER - TUSCALOOSA,3701 LOOP RD E,TUSCALOOSA,AL,35401,TUSCALOOSA,USA
G0100810,0001236801,EAST ALABAMA MEDICAL CENTER,2000 PEPPERELL PARKWAY,OPELIKA,AL,36801,LEE,USA
G0100930,0004735570,NORTH MISSISSIPPI MEDICAL CENTER - HAMILTON,1256 MILITARY STREET SOUTH,HAMILTON,AL,35570,MARION,USA
G0100930,0010035594,NORTHWEST MEDICAL CENTER,1530 U. S. HWY 43,WINFIELD,AL,35594,MARION,USA
G0101110,0195436278,TANNER MEDICAL CENTER/EAST ALABAMA,1032 MAIN STREET SOUTH,WEDOWEE,AL,36278,RANDOLPH,USA
G0101070,0009635447,PICKENS COUNTY MEDICAL CENTER,241 ROBERT K. WILSON DRIVE,CARROLLTON,AL,35447,PICKENS,USA
G0100470,0009936701,VAUGHAN REGIONAL MEDICAL CENTER-PARKWAY CAMPUS,1015 MEDICAL CENTER PARKWAY,SELMA,AL,36701,DALLAS,USA
G0101190,0006236925,HILL HOSPITAL OF SUMTER COUNTY,751 DERBY DRIVE,YORK,AL,36925,SUMTER,USA
G0100730,0005435021,MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM,995 NINTH AVENUE SOUTHWEST,BESSEMER,AL,35021,JEFFERSON,USA
G0100730,0009035235,ST. VINCENT'S EAST,50 MEDICAL PARK EAST DRIVE,BIRMINGHAM,AL,35235,JEFFERSON,USA
G0100730,0002935212,HILL CREST BEHAVIORAL HEALTH SERVICES,6869 FIFTH AVENUE, SOUTH,BIRMINGHAM,AL,35212,JEFFERSON,USA
G0100730,0013535243,GRANDVIEW MEDICAL CENTER,3690 GRANDVIEW PARKWAY,BIRMINGHAM,AL,35243,JEFFERSON,USA
G0100730,0005835209,ENCOMPASS HEALTH LAKESHORE REHABILITATION HOSPITAL,3800 RIDGEWAY DRIVE,BIRMINGHAM,AL,35209,JEFFERSON,USA
G0100730,0008535213,SELECT SPECIALTY HOSPITAL-BIRMINGHAM,800 MONTCLAIR ROAD,BIRMINGHAM,AL,35213,JEFFERSON,USA
G0100730,0000535259,SELECT SPECIALTY HOSPITAL,2010 BROOKWOOD MEDICAL CENTER DRIVE,BIRMINGHAM,AL,35259,JEFFERSON,USA
