GISJOIN,Object_ID,Name,Address,City,State,ZIP,County,Country
G0100210,22019,CHILTON COUNTY SHERIFFS DEPARTMENT,500 2ND AVENUE NORTH, COURTHOUSE-ROOM 204,CLANTON,AL,35045,CHILTON,USA
G0100210,22434,CLANTON POLICE DEPARTMENT,601 1ST AVENUE,CLANTON,AL,35045,CHILTON,USA
G0100210,22460,THORSBY POLICE DEPARTMENT,21060 UNITED STATES HIGHWAY 31, TOWN HALL,THORSBY,AL,35171,CHILTON,USA
G0100210,22423,JEMISON POLICE DEPARTMENT,24747 UNITED STATES HIGHWAY 31,JEMISON,AL,35085,CHILTON,USA
G0100210,22546,MAPLESVILLE POLICE DEPARTMENT,9400 STATE HIGHWAY 22, TOWN HALL,MAPLESVILLE,AL,36750,CHILTON,USA
G0100270,22519,ASHLAND POLICE DEPARTMENT,127 2ND AVENUE NORTH,ASHLAND,AL,36251,CLAY,USA
G0100270,22379,CLAY COUNTY SHERIFFS DEPARTMENT / CLAY COUNTY JAIL,41771 STATE HIGHWAY 77,ASHLAND,AL,36251,CLAY,USA
G0100270,22505,LINEVILLE POLICE DEPARTMENT,60169 STATE HIGHWAY 49,LINEVILLE,AL,36266,CLAY,USA
G0100390,22471,LOCKHART POLICE DEPARTMENT,1548 CHIPPEWAY STREET,LOCKHART,AL,36455,COVINGTON,USA
G0100390,22081,FLORALA POLICE DEPARTMENT,22654 WALL STREET,FLORALA,AL,36442,COVINGTON,USA
G0100390,20851,FLORALA STATE PARK,22738 AZALEA AVENUE,FLORALA,AL,36442,COVINGTON,USA
G0100390,20845,RED LEVEL POLICE DEPARTMENT,29098 SMILEY STREET,RED LEVEL,AL,36474,COVINGTON,USA
G0100390,20805,GANTT POLICE DEPARTMENT,27820 COMMERCE STREET,GANTT,AL,36038,COVINGTON,USA
G0100390,22044,COVINGTON COUNTY SHERIFFS DEPARTMENT,290 HILLCREST DRIVE,ANDALUSIA,AL,36420,COVINGTON,USA
G0100390,20795,RIVER FALLS POLICE DEPARTMENT,24681 FIREHOUSE ROAD,RIVER FALLS,AL,36476,COVINGTON,USA
G0100390,20809,ANDALUSIA WILDLIFE AND FISHERIES OFFICE,1100 SOUTH THREE NOTCH STREET,ANDALUSIA,AL,36420,COVINGTON,USA
G0100390,20870,ALCOHOLIC BEVERAGE CONTROL LAW ENFORCEMENT - ANDALUSIA OFFICE,1806 DOCTOR MARTIN LUTHER KING JUNIOR EXPRESSWAY,ANDALUSIA,AL,36420,COVINGTON,USA
G0100390,22542,ANDALUSIA POLICE DEPARTMENT,102 OPP AVENUE,ANDALUSIA,AL,36420,COVINGTON,USA
G0100390,20687,FRANK JACKSON STATE PARK RANGER STATION,100 JERRY ADAMS DRIVE,OPP,AL,36467,COVINGTON,USA
G0100390,20854,22ND JUDICIAL DRUG TASK FORCE,404 NORTH MAIN STREET,OPP,AL,36467,COVINGTON,USA
G0100390,22524,OPP POLICE DEPARTMENT,106 NORTH MAIN STREET,OPP,AL,36467,COVINGTON,USA
G0100070,22431,WOODSTOCK POLICE DEPARTMENT,28573 STATE HIGHWAY 5,WOODSTOCK,AL,35188,BIBB,USA
G0100070,22466,WEST BLOCTON POLICE DEPARTMENT,1139 MAIN STREET,WEST BLOCTON,AL,35184,BIBB,USA
G0100070,22153,CENTREVILLE POLICE DEPARTMENT,1254 WALNUT STREET,CENTREVILLE,AL,35042,BIBB,USA
G0100070,22502,BIBB COUNTY SHERIFFS DEPARTMENT,183 SOUTHWEST DAVIDSON DRIVE,CENTREVILLE,AL,35042,BIBB,USA
G0100070,22465,BRENT POLICE DEPARTMENT,22 1ST STREET,BRENT,AL,35034,BIBB,USA
G0100310,22053,NEW BROCKTON POLICE DEPARTMENT,202 SOUTH JOHN STREET,NEW BROCKTON,AL,36351,COFFEE,USA
G0100310,22175,ELBA POLICE DEPARTMENT,304 SIMMONS STREET,ELBA,AL,36323,COFFEE,USA
G0100310,22506,KINSTON POLICE DEPARTMENT,856 MAIN STREET,KINSTON,AL,36453,COFFEE,USA
G0100310,22512,ENTERPRISE POLICE DEPARTMENT,501 SOUTH MAIN STREET,ENTERPRISE,AL,36330,COFFEE,USA
G0100310,22559,COFFEE COUNTY SHERIFFS DEPARTMENT / COFFEE COUNTY JAIL,1133 EAST MCKINNON STREET, 4 COUNTY COMPLEX,NEW BROCKTON,AL,36351,COFFEE,USA
G0100150,22469,OHATCHEE POLICE DEPARTMENT,7801 STATE HIGHWAY 77,OHATCHEE,AL,36271,CALHOUN,USA
G0100150,22066,WEAVER POLICE DEPARTMENT,500 ANNISTON STREET,WEAVER,AL,36277,CALHOUN,USA
G0100150,22133,JACKSONVILLE STATE UNIVERSITY POLICE,700 PELHAM ROAD NORTH, SALLS HALL,JACKSONVILLE,AL,36265,CALHOUN,USA
G0100150,20898,CONSERVATION ENFORCEMENT SUPERVISOR DISTRICT 2,4101 STATE HIGHWAY 21 NORTH,JACKSONVILLE,AL,36265,CALHOUN,USA
G0100150,22115,JACKSONVILLE POLICE DEPARTMENT / JACKSONVILLE CITY JAIL,116 LADIGA STREET SOUTHEAST,JACKSONVILLE,AL,36265,CALHOUN,USA
G0100150,20882,ALABAMA DEPARTMENT OF PUBLIC SAFETY HIGHWAY PATROL DIVISION - JACKSONVILLE POST,1703 PELHAM ROAD SOUTH,JACKSONVILLE,AL,36265,CALHOUN,USA
G0100150,22580,PIEDMONT POLICE DEPARTMENT,121 WEST LADIGA STREET,PIEDMONT,AL,36272,CALHOUN,USA
