GISJOIN,FID,Name,Address,City,State,ZIP,County,Country
G0100210,15120,CHILTON CHRISTIAN ACADEMY,23240 US HIGHWAY 31,JEMISON,AL,35085,CHILTON,USA
G0100270,21,CLAY COUNTY CHRISTIAN ACADEMY,37993 HWY 77,ASHLAND,AL,36251,CLAY,USA
G0100270,22,FIRST ASSEMBLY CHRISTIAN SCHOOL,85621 HWY 9,ASHLAND,AL,36251,CLAY,USA
G0100070,7,CAHAWBA CHRISTIAN ACADEMY,2415 MONTEVALLO RD,CENTREVILLE,AL,35042,BIBB,USA
G0100310,24,WIREGRASS CHRISTIAN ACADEMY,209 W COLLEGE ST,ENTERPRISE,AL,36330,COFFEE,USA
G0100310,23,PATHWAY INC,109 PRIVATE RD 1202,NEW BROCKTON,AL,36351,COFFEE,USA
G0100150,13,JACKSONVILLE CHRISTIAN ACADEMY,831 ALEXANDRIA RD SW,JACKSONVILLE,AL,36265,CALHOUN,USA
G0100150,11,THE DONOHO SCHOOL,2501 HENRY RD,ANNISTON,AL,36207,CALHOUN,USA
G0100150,14,SACRED HEART CATHOLIC SCHOOL,16 MORTON RD,ANNISTON,AL,36205,CALHOUN,USA
G0100150,20401,SHARP DEAN SCHOOL OF CONTINUING STUDIES INC,1910 NOBLE ST,ANNISTON,AL,36201,CALHOUN,USA
G0100150,20397,IQRA MATH AND SCIENCE ACADEMY,1821 MCCALL DR,ANNISTON,AL,36207,CALHOUN,USA
G0100150,12,TRINITY CHRISTIAN ACADEMY,1500 AIRPORT RD,OXFORD,AL,36203,CALHOUN,USA
G0100170,17,CHAMBERS ACADEMY,15048 US HIGHWAY 431,LAFAYETTE,AL,36862,CHAMBERS,USA
G0100170,18,ACTS ACADEMY,316 FOB JAMES DR,VALLEY,AL,36854,CHAMBERS,USA
G0100170,15,SPRINGWOOD SCHOOL,1814 CHERRY DR,LANETT,AL,36863,CHAMBERS,USA
G0100170,16,TEMPLE CHRISTIAN SCHOOL,2615 64TH BLVD,VALLEY,AL,36854,CHAMBERS,USA
G0100230,19,SOUTH CHOCTAW ACADEMY,5245 NEW HOPE RD,TOXEY,AL,36921,CHOCTAW,USA
G0100230,20,PATRICIAN ACADEMY,901 S MULBERRY AVE,BUTLER,AL,36904,CHOCTAW,USA
G0100410,26,CRENSHAW CHRISTIAN ACADEMY,608 COUNTRY CLUB DR,LUVERNE,AL,36049,CRENSHAW,USA
G0100010,17277,AUTAUGA ACADEMY,497 GOLSON RD,PRATTVILLE,AL,36067,AUTAUGA,USA
G0100010,17280,FIRST BAPTIST PRESCHOOL AND KINDERGARTEN,138 S WASHINGTON ST,PRATTVILLE,AL,36067,AUTAUGA,USA
G0100010,15366,FIRST PRESBYTERIAN KINDERGARTEN,211 S CHESTNUT ST,PRATTVILLE,AL,36067,AUTAUGA,USA
G0100010,20393,FOUNTAIN CITY BAPTIST HOME SCHOOL,237 S NORTHINGTON ST,PRATTVILLE,AL,36067,AUTAUGA,USA
G0100010,17278,CAMELLIA BAPTIST WEM,201 WOODVALE RD,PRATTVILLE,AL,36067,AUTAUGA,USA
G0100010,17279,EAST MEMORIAL CHRISTIAN ACADEMY,1320 OLD RIDGE RD N,PRATTVILLE,AL,36066,AUTAUGA,USA
G0100130,10,FORT DALE ACADEMY,1100 GAMBLE ST,GREENVILLE,AL,36037,BUTLER,USA
G0100110,118,CONECUH SPRINGS CHRISTIAN SCHOOL,220 HICKS INDUSTRIAL BLVD,UNION SPRINGS,AL,36089,BULLOCK,USA
G0100450,31,HARVEST CHRISTIAN SCHOOL,1694 DEESE RD,OZARK,AL,36360,DALE,USA
G0100350,25,SPARTA ACADEMY,300 PIERCE ST,EVERGREEN,AL,36401,CONECUH,USA
G0100090,9,VICTORY CHRISTIAN SCHOOL,4242 HWY 29,ONEONTA,AL,35121,BLOUNT,USA
G0100090,8,MT PLEASANT CHRISTIAN SCHOOL,4111 SUSAN MOORE RD,BLOUNTSVILLE,AL,35031,BLOUNT,USA
G0100050,6,THE LAKESIDE SCHOOL,1020 LAKE DR,EUFAULA,AL,36027,BARBOUR,USA
G0100050,14845,PARKVIEW CHRISTIAN SCHOOL,608 S EUFAULA AVE,EUFAULA,AL,36027,BARBOUR,USA
G0100490,34,CORNERSTONE CHRISTIAN ACADEMY,1600 MCCURDY AVE N,RAINSVILLE,AL,35986,DEKALB,USA
G0100490,35,BETH HAVEN CHRISTIAN ACADEMY,1424 COUNTY ROAD 471,CROSSVILLE,AL,35962,DEKALB,USA
G0100430,29,ST BERNARD PREPARATORY SCHOOL,1600 SAINT BERNARD AVE SE,CULLMAN,AL,35055,CULLMAN,USA
G0100430,27,SACRED HEART ELEMENTARY,112 2ND AVE SE,CULLMAN,AL,35055,CULLMAN,USA
G0100430,15364,CULLMAN CHRISTIAN SCHOOL,708 7TH ST SW,CULLMAN,AL,35055,CULLMAN,USA
G0100430,30,ST PAULS LUTHERAN SCHOOL,510 3RD AVE SE,CULLMAN,AL,35055,CULLMAN,USA
